id_produto|ds_produto|id_subcategoria
864070|Produto - 0000864070|1315
876272|Produto - 0000876272|1315
879781|Produto - 0000879781|1182
894670|Produto - 0000894670|1582
895087|Produto - 0000895087|3531
909850|Produto - 0000909850|1040
927380|Produto - 0000927380|3164
947784|Produto - 0000947784|1106
952273|Produto - 0000952273|1289
956546|Produto - 0000956546|3531
973549|Produto - 0000973549|1582
973688|Produto - 0000973688|753
976475|Produto - 0000976475|3129
994355|Produto - 0000994355|1582
1003031|Produto - 0001003031|3129
1004739|Produto - 0001004739|1315
1029582|Produto - 0001029582|1633
1038247|Produto - 0001038247|1106
1048135|Produto - 0001048135|2892
1073134|Produto - 0001073134|1162
1074455|Produto - 0001074455|1106
1074583|Produto - 0001074583|3015
1081971|Produto - 0001081971|3531
1092664|Produto - 0001092664|2975
1106813|Produto - 0001106813|1582
1112594|Produto - 0001112594|1106
1130652|Produto - 0001130652|1315
1141016|Produto - 0001141016|1049
1150627|Produto - 0001150627|3531
1153312|Produto - 0001153312|1582
1159834|Produto - 0001159834|1674
1168904|Produto - 0001168904|1106
1181698|Produto - 0001181698|2892
1209360|Produto - 0001209360|753
1222447|Produto - 0001222447|1657
1244590|Produto - 0001244590|1582
1254390|Produto - 0001254390|3531
1312039|Produto - 0001312039|3587
1342071|Produto - 0001342071|1162
1351239|Produto - 0001351239|2200
1362636|Produto - 0001362636|1582
1365005|Produto - 0001365005|1048
1368093|Produto - 0001368093|3129
1368205|Produto - 0001368205|1582
1372989|Produto - 0001372989|169
1374092|Produto - 0001374092|1162
1376222|Produto - 0001376222|1106
1377450|Produto - 0001377450|1315
1378914|Produto - 0001378914|2973
1382772|Produto - 0001382772|1315
1388404|Produto - 0001388404|1106
1405131|Produto - 0001405131|1315
1411886|Produto - 0001411886|418
1417394|Produto - 0001417394|1106
1418777|Produto - 0001418777|1657
1427396|Produto - 0001427396|2200
1458581|Produto - 0001458581|1582
1460365|Produto - 0001460365|1582
1478323|Produto - 0001478323|1106
1485759|Produto - 0001485759|753
1487190|Produto - 0001487190|3214
1502495|Produto - 0001502495|276
1511323|Produto - 0001511323|561
1526569|Produto - 0001526569|3531
1540608|Produto - 0001540608|562
1554872|Produto - 0001554872|1582
1556765|Produto - 0001556765|505
1564912|Produto - 0001564912|1319
1567131|Produto - 0001567131|1212
1571434|Produto - 0001571434|1085
1583969|Produto - 0001583969|2095
1586983|Produto - 0001586983|3531
1592010|Produto - 0001592010|3129
1606136|Produto - 0001606136|1582
1612347|Produto - 0001612347|723
1623830|Produto - 0001623830|1155
1643854|Produto - 0001643854|753
1644661|Produto - 0001644661|1880
1675793|Produto - 0001675793|1106
1679606|Produto - 0001679606|1106
1705618|Produto - 0001705618|2887
1715626|Produto - 0001715626|1633
1733910|Produto - 0001733910|1315
1749144|Produto - 0001749144|1049
1753588|Produto - 0001753588|941
1761666|Produto - 0001761666|3129
1762014|Produto - 0001762014|1633
1763183|Produto - 0001763183|1085
1765435|Produto - 0001765435|3141
1768921|Produto - 0001768921|145
1782802|Produto - 0001782802|2901
1807511|Produto - 0001807511|1085
1825641|Produto - 0001825641|398
1827731|Produto - 0001827731|694
1855894|Produto - 0001855894|1162
1860253|Produto - 0001860253|1582
1867370|Produto - 0001867370|1040
1879526|Produto - 0001879526|1582
1886711|Produto - 0001886711|1582
1887732|Produto - 0001887732|1536
1889925|Produto - 0001889925|2371
1898222|Produto - 0001898222|1182
1907015|Produto - 0001907015|1582
1908116|Produto - 0001908116|1049
1920861|Produto - 0001920861|1315
1921901|Produto - 0001921901|1507
1947414|Produto - 0001947414|1664
1957152|Produto - 0001957152|1106
1962728|Produto - 0001962728|681
1967305|Produto - 0001967305|1672
1999641|Produto - 0001999641|1582
2019000|Produto - 0002019000|1633
2038778|Produto - 0002038778|3531
2042404|Produto - 0002042404|1582
2046077|Produto - 0002046077|1319
2066157|Produto - 0002066157|1582
2074228|Produto - 0002074228|1162
2098296|Produto - 0002098296|3531
2107053|Produto - 0002107053|1315
2124419|Produto - 0002124419|630
2126497|Produto - 0002126497|1289
2141212|Produto - 0002141212|1582
2141574|Produto - 0002141574|1106
2142156|Produto - 0002142156|2892
2157740|Produto - 0002157740|1315
2157873|Produto - 0002157873|1162
2164368|Produto - 0002164368|1582
2173336|Produto - 0002173336|1582
2178613|Produto - 0002178613|1315
2204027|Produto - 0002204027|753
2207940|Produto - 0002207940|745
2207967|Produto - 0002207967|1106
2215199|Produto - 0002215199|1584
2228465|Produto - 0002228465|681
2243599|Produto - 0002243599|681
2251685|Produto - 0002251685|2450
2319511|Produto - 0002319511|1582
2324895|Produto - 0002324895|2842
2329951|Produto - 0002329951|2450
2344702|Produto - 0002344702|1315
2356351|Produto - 0002356351|1106
2361333|Produto - 0002361333|2166
2364267|Produto - 0002364267|60
2374222|Produto - 0002374222|1582
2381371|Produto - 0002381371|2887
2400405|Produto - 0002400405|3129
2422923|Produto - 0002422923|1633
2425441|Produto - 0002425441|1157
2434690|Produto - 0002434690|1582
2451708|Produto - 0002451708|1085
2454463|Produto - 0002454463|1582
2455630|Produto - 0002455630|561
2468991|Produto - 0002468991|2892
2475246|Produto - 0002475246|3531
2501410|Produto - 0002501410|1582
2504609|Produto - 0002504609|753
2507200|Produto - 0002507200|2887
2512778|Produto - 0002512778|2887
2537844|Produto - 0002537844|1162
2544215|Produto - 0002544215|1049
2554348|Produto - 0002554348|1582
2564550|Produto - 0002564550|3214
2570631|Produto - 0002570631|1582
2571076|Produto - 0002571076|1106
2575882|Produto - 0002575882|3531
2584739|Produto - 0002584739|2647
2587632|Produto - 0002587632|562
2588344|Produto - 0002588344|1106
2600955|Produto - 0002600955|753
2607587|Produto - 0002607587|1106
2622027|Produto - 0002622027|2887
2625850|Produto - 0002625850|2887
2659268|Produto - 0002659268|1581
2660483|Produto - 0002660483|1582
2674137|Produto - 0002674137|1582
2675683|Produto - 0002675683|1315
2683620|Produto - 0002683620|2892
2711217|Produto - 0002711217|1162
2715375|Produto - 0002715375|1048
2719231|Produto - 0002719231|1582
2725502|Produto - 0002725502|2889
2743650|Produto - 0002743650|3531
2748507|Produto - 0002748507|1040
2777190|Produto - 0002777190|681
2779136|Produto - 0002779136|3531
2795259|Produto - 0002795259|62
2827236|Produto - 0002827236|1352
2832481|Produto - 0002832481|1582
2839011|Produto - 0002839011|1657
2856765|Produto - 0002856765|1106
2867601|Produto - 0002867601|1299
2873442|Produto - 0002873442|2892
2879005|Produto - 0002879005|1106
2883361|Produto - 0002883361|1048
2895160|Produto - 0002895160|1049
2910188|Produto - 0002910188|1182
2918840|Produto - 0002918840|3531
2925154|Produto - 0002925154|1582
2931767|Produto - 0002931767|3531
2934213|Produto - 0002934213|1319
2935702|Produto - 0002935702|1582
2952234|Produto - 0002952234|1880
2959765|Produto - 0002959765|1106
2964177|Produto - 0002964177|1040
2973587|Produto - 0002973587|1582
2976313|Produto - 0002976313|745
2982152|Produto - 0002982152|2151
2982669|Produto - 0002982669|1106
2982692|Produto - 0002982692|3531
2985792|Produto - 0002985792|1507
2997636|Produto - 0002997636|1319
3001633|Produto - 0003001633|1315
3002485|Produto - 0003002485|1212
3032975|Produto - 0003032975|1428
3035388|Produto - 0003035388|1106
3064445|Produto - 0003064445|1582
3066747|Produto - 0003066747|2842
3082018|Produto - 0003082018|1582
3091424|Produto - 0003091424|1106
3091806|Produto - 0003091806|3531
3128448|Produto - 0003128448|1212
3144798|Produto - 0003144798|2973
3160426|Produto - 0003160426|1582
3167627|Produto - 0003167627|1664
3181274|Produto - 0003181274|928
3204864|Produto - 0003204864|1582
3206891|Produto - 0003206891|2200
3219115|Produto - 0003219115|1162
3231006|Produto - 0003231006|2952
3237774|Produto - 0003237774|333
3238061|Produto - 0003238061|1315
3248457|Produto - 0003248457|1367
3251696|Produto - 0003251696|2461
3255445|Produto - 0003255445|1315
3259492|Produto - 0003259492|1299
3271661|Produto - 0003271661|1582
3291596|Produto - 0003291596|3531
3311430|Produto - 0003311430|880
3324704|Produto - 0003324704|1657
3339799|Produto - 0003339799|3472
3342606|Produto - 0003342606|1367
3347024|Produto - 0003347024|3531
3360392|Produto - 0003360392|3531
3363802|Produto - 0003363802|1315
3394220|Produto - 0003394220|562
3398888|Produto - 0003398888|1198
3400412|Produto - 0003400412|1367
3414874|Produto - 0003414874|3531
3423462|Produto - 0003423462|1315
3423662|Produto - 0003423662|3531
3424105|Produto - 0003424105|1106
3445725|Produto - 0003445725|1367
3457707|Produto - 0003457707|1162
3463756|Produto - 0003463756|1162
3481402|Produto - 0003481402|562
3494230|Produto - 0003494230|1315
3511464|Produto - 0003511464|1004
3520486|Produto - 0003520486|3531
3521619|Produto - 0003521619|1040
3539103|Produto - 0003539103|1040
3546338|Produto - 0003546338|3112
3546954|Produto - 0003546954|2887
3554164|Produto - 0003554164|1210
3581416|Produto - 0003581416|1633
3583488|Produto - 0003583488|3531
3583511|Produto - 0003583511|3531
3591008|Produto - 0003591008|1582
3596121|Produto - 0003596121|1657
3632145|Produto - 0003632145|753
3650349|Produto - 0003650349|1040
3659483|Produto - 0003659483|3531
3659854|Produto - 0003659854|1582
3661538|Produto - 0003661538|1582
3672816|Produto - 0003672816|1162
3687487|Produto - 0003687487|3112
3690348|Produto - 0003690348|2450
3695472|Produto - 0003695472|882
3712407|Produto - 0003712407|1657
3724874|Produto - 0003724874|1162
3747840|Produto - 0003747840|1162
3752883|Produto - 0003752883|1162
3757942|Produto - 0003757942|3531
3759898|Produto - 0003759898|3531
3766804|Produto - 0003766804|2450
3772786|Produto - 0003772786|3235
3776530|Produto - 0003776530|1376
3778772|Produto - 0003778772|1085
3782118|Produto - 0003782118|1582
3785481|Produto - 0003785481|3129
3797415|Produto - 0003797415|681
3828098|Produto - 0003828098|1582
3865334|Produto - 0003865334|361
3866849|Produto - 0003866849|1162
3889983|Produto - 0003889983|3336
3907653|Produto - 0003907653|2892
3909788|Produto - 0003909788|1182
3910032|Produto - 0003910032|1582
3913709|Produto - 0003913709|3129
3922599|Produto - 0003922599|1635
3935120|Produto - 0003935120|1315
3969554|Produto - 0003969554|1582
3982654|Produto - 0003982654|1106
3996707|Produto - 0003996707|3531
3998370|Produto - 0003998370|3531
4007100|Produto - 0004007100|1162
4008972|Produto - 0004008972|641
4031719|Produto - 0004031719|1582
4032192|Produto - 0004032192|1197
4048053|Produto - 0004048053|3531
4060295|Produto - 0004060295|1582
4084254|Produto - 0004084254|1162
4094479|Produto - 0004094479|753
4109350|Produto - 0004109350|2887
4114991|Produto - 0004114991|1182
4123300|Produto - 0004123300|3531
4133001|Produto - 0004133001|882
4143980|Produto - 0004143980|961
4171885|Produto - 0004171885|1106
4178483|Produto - 0004178483|1048
4179516|Produto - 0004179516|1582
4193852|Produto - 0004193852|3214
4203632|Produto - 0004203632|1507
4211954|Produto - 0004211954|1212
4220131|Produto - 0004220131|3531
4235662|Produto - 0004235662|3472
4242583|Produto - 0004242583|1106
4258785|Produto - 0004258785|1476
4262699|Produto - 0004262699|1582
4265112|Produto - 0004265112|1582
4278991|Produto - 0004278991|753
4289465|Produto - 0004289465|1850
4290006|Produto - 0004290006|1299
4301539|Produto - 0004301539|333
4308003|Produto - 0004308003|1582
4316475|Produto - 0004316475|8
4320066|Produto - 0004320066|411
4334677|Produto - 0004334677|681
4345103|Produto - 0004345103|1582
4360419|Produto - 0004360419|1106
4368303|Produto - 0004368303|1048
4390855|Produto - 0004390855|1319
4403751|Produto - 0004403751|3531
4405358|Produto - 0004405358|2892
4409437|Produto - 0004409437|753
4410473|Produto - 0004410473|418
4417258|Produto - 0004417258|1210
4437041|Produto - 0004437041|3531
4440983|Produto - 0004440983|3472
4463874|Produto - 0004463874|3129
4465184|Produto - 0004465184|3531
4465219|Produto - 0004465219|1880
4487502|Produto - 0004487502|3214
4492619|Produto - 0004492619|3531
4515219|Produto - 0004515219|1885
4527483|Produto - 0004527483|1162
4556160|Produto - 0004556160|1106
4556251|Produto - 0004556251|1315
4558669|Produto - 0004558669|333
4560295|Produto - 0004560295|3531
4565088|Produto - 0004565088|1609
4575286|Produto - 0004575286|1582
4576209|Produto - 0004576209|1040
4576282|Produto - 0004576282|1315
4582998|Produto - 0004582998|3531
4589492|Produto - 0004589492|3129
4602169|Produto - 0004602169|3531
4603133|Produto - 0004603133|1106
4654563|Produto - 0004654563|2315
4660477|Produto - 0004660477|562
4671023|Produto - 0004671023|3531
4674778|Produto - 0004674778|1106
4677658|Produto - 0004677658|1582
4684677|Produto - 0004684677|562
4697807|Produto - 0004697807|3531
4700745|Produto - 0004700745|562
4701167|Produto - 0004701167|2889
4718015|Produto - 0004718015|1582
4730817|Produto - 0004730817|3531
4746169|Produto - 0004746169|1633
4747521|Produto - 0004747521|1582
4748516|Produto - 0004748516|1315
4758955|Produto - 0004758955|1048
4759856|Produto - 0004759856|753
4761196|Produto - 0004761196|1319
4761948|Produto - 0004761948|562
4776942|Produto - 0004776942|1582
4782351|Produto - 0004782351|1315
4804679|Produto - 0004804679|3531
4814432|Produto - 0004814432|1476
4816338|Produto - 0004816338|3531
4824220|Produto - 0004824220|3531
4832411|Produto - 0004832411|1106
4842250|Produto - 0004842250|3531
4855068|Produto - 0004855068|1582
4858892|Produto - 0004858892|3531
4887838|Produto - 0004887838|753
4890057|Produto - 0004890057|505
4890291|Produto - 0004890291|1162
4917344|Produto - 0004917344|1162
4922014|Produto - 0004922014|965
4923281|Produto - 0004923281|1582
4948145|Produto - 0004948145|1633
4950038|Produto - 0004950038|1162
4961033|Produto - 0004961033|333
4972715|Produto - 0004972715|1315
4987525|Produto - 0004987525|1623
4992371|Produto - 0004992371|169
4998616|Produto - 0004998616|1582
5005681|Produto - 0005005681|3129
5007455|Produto - 0005007455|681
5040408|Produto - 0005040408|2450
5057563|Produto - 0005057563|1299
5058466|Produto - 0005058466|1292
18503|Produto - 0000018503|3112
27266|Produto - 0000027266|333
40631|Produto - 0000040631|505
45054|Produto - 0000045054|2355
54747|Produto - 0000054747|499
147507|Produto - 0000147507|1726
215741|Produto - 0000215741|1892
266880|Produto - 0000266880|2297
293995|Produto - 0000293995|3172
302395|Produto - 0000302395|60
337130|Produto - 0000337130|60
339831|Produto - 0000339831|1674
395598|Produto - 0000395598|2184
396543|Produto - 0000396543|311
397669|Produto - 0000397669|99
404092|Produto - 0000404092|3112
404362|Produto - 0000404362|3112
408586|Produto - 0000408586|2977
414960|Produto - 0000414960|3172
419782|Produto - 0000419782|3112
425764|Produto - 0000425764|3164
436371|Produto - 0000436371|1315
445254|Produto - 0000445254|753
445516|Produto - 0000445516|1106
452354|Produto - 0000452354|3129
459333|Produto - 0000459333|185
462878|Produto - 0000462878|1582
463701|Produto - 0000463701|753
483745|Produto - 0000483745|1582
496548|Produto - 0000496548|1582
497589|Produto - 0000497589|1582
523100|Produto - 0000523100|1085
528672|Produto - 0000528672|1106
537345|Produto - 0000537345|1315
538138|Produto - 0000538138|1582
539498|Produto - 0000539498|1315
545895|Produto - 0000545895|1582
551199|Produto - 0000551199|1182
562792|Produto - 0000562792|1582
566576|Produto - 0000566576|1880
571042|Produto - 0000571042|1582
578276|Produto - 0000578276|3531
583898|Produto - 0000583898|2887
603334|Produto - 0000603334|1880
614275|Produto - 0000614275|1106
621506|Produto - 0000621506|1582
627759|Produto - 0000627759|2887
631299|Produto - 0000631299|1162
638001|Produto - 0000638001|1315
638743|Produto - 0000638743|1106
639646|Produto - 0000639646|1289
652439|Produto - 0000652439|945
673042|Produto - 0000673042|1582
689478|Produto - 0000689478|3531
691036|Produto - 0000691036|1106
721037|Produto - 0000721037|1582
736578|Produto - 0000736578|1582
751080|Produto - 0000751080|505
781719|Produto - 0000781719|1880
781777|Produto - 0000781777|1315
783746|Produto - 0000783746|1106
791048|Produto - 0000791048|1106
794964|Produto - 0000794964|1582
810467|Produto - 0000810467|1013
812832|Produto - 0000812832|1315
821011|Produto - 0000821011|2286
828753|Produto - 0000828753|1162
829035|Produto - 0000829035|3129
832202|Produto - 0000832202|1582
835812|Produto - 0000835812|490
843817|Produto - 0000843817|753
850298|Produto - 0000850298|3531
853074|Produto - 0000853074|1657
869062|Produto - 0000869062|2402
870851|Produto - 0000870851|753
892290|Produto - 0000892290|1106
896751|Produto - 0000896751|1106
899774|Produto - 0000899774|3531
901537|Produto - 0000901537|3531
912546|Produto - 0000912546|3531
921069|Produto - 0000921069|1106
938600|Produto - 0000938600|1106
1001255|Produto - 0001001255|2200
1003010|Produto - 0001003010|1147
1003663|Produto - 0001003663|3531
1030754|Produto - 0001030754|1582
1034054|Produto - 0001034054|1582
1048142|Produto - 0001048142|1674
1049223|Produto - 0001049223|3112
1056881|Produto - 0001056881|1106
1072617|Produto - 0001072617|2889
1081669|Produto - 0001081669|1106
1100686|Produto - 0001100686|753
1106561|Produto - 0001106561|1162
1109815|Produto - 0001109815|1162
1143056|Produto - 0001143056|1319
1158646|Produto - 0001158646|3129
1185762|Produto - 0001185762|630
1202503|Produto - 0001202503|1162
1204332|Produto - 0001204332|1315
1212710|Produto - 0001212710|1210
1223392|Produto - 0001223392|1582
1250321|Produto - 0001250321|1315
1264217|Produto - 0001264217|3422
1280388|Produto - 0001280388|1582
1281245|Produto - 0001281245|1582
1291479|Produto - 0001291479|95
1319903|Produto - 0001319903|1162
1320044|Produto - 0001320044|1582
1332101|Produto - 0001332101|1582
1335749|Produto - 0001335749|319
1345173|Produto - 0001345173|1319
1370518|Produto - 0001370518|2887
1381261|Produto - 0001381261|1582
1386385|Produto - 0001386385|3531
1399941|Produto - 0001399941|1106
1431627|Produto - 0001431627|1315
1451694|Produto - 0001451694|3129
1456826|Produto - 0001456826|1162
1458088|Produto - 0001458088|1085
1463774|Produto - 0001463774|3129
1485422|Produto - 0001485422|1582
1520168|Produto - 0001520168|1162
1527369|Produto - 0001527369|753
1530788|Produto - 0001530788|2887
1530825|Produto - 0001530825|3531
1535637|Produto - 0001535637|3531
1539913|Produto - 0001539913|1582
1553323|Produto - 0001553323|1582
1593312|Produto - 0001593312|1040
1616449|Produto - 0001616449|1582
1619384|Produto - 0001619384|1315
1621447|Produto - 0001621447|1582
1621840|Produto - 0001621840|2021
1628157|Produto - 0001628157|2892
1646301|Produto - 0001646301|2450
1650215|Produto - 0001650215|1880
1656385|Produto - 0001656385|1315
1679039|Produto - 0001679039|3129
1680150|Produto - 0001680150|1930
1684416|Produto - 0001684416|3531
1686111|Produto - 0001686111|3129
1689748|Produto - 0001689748|1162
1689872|Produto - 0001689872|1049
1705382|Produto - 0001705382|1315
1706366|Produto - 0001706366|562
1710287|Produto - 0001710287|1106
1711606|Produto - 0001711606|1106
1721281|Produto - 0001721281|3129
1721329|Produto - 0001721329|562
1721688|Produto - 0001721688|3129
1728911|Produto - 0001728911|1657
1752469|Produto - 0001752469|1315
1754920|Produto - 0001754920|1582
1757982|Produto - 0001757982|562
1758541|Produto - 0001758541|1182
1762398|Produto - 0001762398|1582
1779148|Produto - 0001779148|2887
1780713|Produto - 0001780713|3129
1781944|Produto - 0001781944|2887
1785294|Produto - 0001785294|1676
1794119|Produto - 0001794119|3531
1796070|Produto - 0001796070|1582
1797356|Produto - 0001797356|1162
1799624|Produto - 0001799624|1162
1807177|Produto - 0001807177|3531
1808270|Produto - 0001808270|1040
1808767|Produto - 0001808767|1315
1817770|Produto - 0001817770|1582
1819723|Produto - 0001819723|1289
1824146|Produto - 0001824146|1106
1827660|Produto - 0001827660|1664
1831577|Produto - 0001831577|1049
1838283|Produto - 0001838283|3531
1839394|Produto - 0001839394|1049
1846614|Produto - 0001846614|1582
1866164|Produto - 0001866164|641
1873075|Produto - 0001873075|753
1875994|Produto - 0001875994|1315
1877844|Produto - 0001877844|1106
1882149|Produto - 0001882149|1633
1896496|Produto - 0001896496|1582
1901510|Produto - 0001901510|1162
1908227|Produto - 0001908227|1162
1908654|Produto - 0001908654|1582
1910150|Produto - 0001910150|2887
1915215|Produto - 0001915215|1106
1921009|Produto - 0001921009|333
1941484|Produto - 0001941484|1106
1953816|Produto - 0001953816|1582
1960614|Produto - 0001960614|1106
1969152|Produto - 0001969152|1582
1970139|Produto - 0001970139|3531
1984370|Produto - 0001984370|1633
2020286|Produto - 0002020286|3531
2022586|Produto - 0002022586|3531
2024300|Produto - 0002024300|1582
2040971|Produto - 0002040971|2887
2043056|Produto - 0002043056|3383
2049230|Produto - 0002049230|1582
2054462|Produto - 0002054462|1582
2057827|Produto - 0002057827|1582
2061950|Produto - 0002061950|882
2064585|Produto - 0002064585|2892
2075039|Produto - 0002075039|1582
2076203|Produto - 0002076203|1106
2082522|Produto - 0002082522|1162
2095201|Produto - 0002095201|2713
2100287|Produto - 0002100287|2892
2106561|Produto - 0002106561|3214
2121372|Produto - 0002121372|1106
2126914|Produto - 0002126914|1582
2136456|Produto - 0002136456|1197
2138632|Produto - 0002138632|681
2139315|Produto - 0002139315|694
2183206|Produto - 0002183206|1582
2196225|Produto - 0002196225|2450
2199302|Produto - 0002199302|1182
2201506|Produto - 0002201506|2892
2213836|Produto - 0002213836|1315
2216094|Produto - 0002216094|1582
2232677|Produto - 0002232677|2200
2236915|Produto - 0002236915|1582
2239569|Produto - 0002239569|1582
2240208|Produto - 0002240208|1162
2266845|Produto - 0002266845|1162
2285370|Produto - 0002285370|1582
2291786|Produto - 0002291786|1318
2310928|Produto - 0002310928|1582
2311753|Produto - 0002311753|3531
2327172|Produto - 0002327172|1582
2331343|Produto - 0002331343|3129
2332557|Produto - 0002332557|1048
2335280|Produto - 0002335280|834
2336785|Produto - 0002336785|1582
2342836|Produto - 0002342836|1162
2376810|Produto - 0002376810|2887
2395117|Produto - 0002395117|1582
2400903|Produto - 0002400903|2973
2401133|Produto - 0002401133|1582
2403038|Produto - 0002403038|1162
2420276|Produto - 0002420276|3531
2424863|Produto - 0002424863|3129
2435279|Produto - 0002435279|3531
2438392|Produto - 0002438392|2200
2440967|Produto - 0002440967|1367
2442170|Produto - 0002442170|885
2448570|Produto - 0002448570|1633
2458482|Produto - 0002458482|753
2496218|Produto - 0002496218|1582
2520770|Produto - 0002520770|1040
2537787|Produto - 0002537787|2887
2562458|Produto - 0002562458|1582
2585604|Produto - 0002585604|169
2606514|Produto - 0002606514|681
2613604|Produto - 0002613604|1162
2615677|Produto - 0002615677|2842
2626206|Produto - 0002626206|2841
2627390|Produto - 0002627390|1657
2655819|Produto - 0002655819|1657
2658283|Produto - 0002658283|3531
2701684|Produto - 0002701684|2450
2704543|Produto - 0002704543|1315
2713686|Produto - 0002713686|1289
2719961|Produto - 0002719961|641
2722666|Produto - 0002722666|1633
2726493|Produto - 0002726493|3531
2728845|Produto - 0002728845|1106
2730957|Produto - 0002730957|2887
2738778|Produto - 0002738778|1536
2748150|Produto - 0002748150|1582
2760370|Produto - 0002760370|1333
2769863|Produto - 0002769863|1367
2778789|Produto - 0002778789|3531
2797998|Produto - 0002797998|1633
2845005|Produto - 0002845005|1880
2848491|Produto - 0002848491|1497
2853084|Produto - 0002853084|1582
2860177|Produto - 0002860177|2889
2861980|Produto - 0002861980|1106
2872146|Produto - 0002872146|3531
2886002|Produto - 0002886002|1314
2886832|Produto - 0002886832|1007
2897265|Produto - 0002897265|1106
2901915|Produto - 0002901915|505
2903225|Produto - 0002903225|562
2909696|Produto - 0002909696|2889
2927191|Produto - 0002927191|587
2940252|Produto - 0002940252|1106
2946021|Produto - 0002946021|1507
2957639|Produto - 0002957639|1582
2973717|Produto - 0002973717|1582
2974974|Produto - 0002974974|571
2997088|Produto - 0002997088|753
3015191|Produto - 0003015191|1085
3015671|Produto - 0003015671|1289
3018521|Produto - 0003018521|327
3020295|Produto - 0003020295|2889
3021329|Produto - 0003021329|1106
3033032|Produto - 0003033032|1162
3050566|Produto - 0003050566|1085
3050699|Produto - 0003050699|1582
3076710|Produto - 0003076710|169
3079297|Produto - 0003079297|1633
3082742|Produto - 0003082742|720
3087270|Produto - 0003087270|1603
3100082|Produto - 0003100082|1582
3103059|Produto - 0003103059|1040
3128853|Produto - 0003128853|1106
3133746|Produto - 0003133746|505
3152614|Produto - 0003152614|753
3169294|Produto - 0003169294|2892
3182746|Produto - 0003182746|96
3183185|Produto - 0003183185|2402
3183261|Produto - 0003183261|3531
3199225|Produto - 0003199225|3129
3210531|Produto - 0003210531|3214
3260626|Produto - 0003260626|1315
3268884|Produto - 0003268884|2887
3282185|Produto - 0003282185|3531
3287322|Produto - 0003287322|3129
3323455|Produto - 0003323455|3112
3341622|Produto - 0003341622|1880
3346421|Produto - 0003346421|1582
3357766|Produto - 0003357766|753
3381990|Produto - 0003381990|1582
3383592|Produto - 0003383592|3531
3391620|Produto - 0003391620|1106
3391725|Produto - 0003391725|1106
3398378|Produto - 0003398378|1657
3428986|Produto - 0003428986|1322
3432069|Produto - 0003432069|3152
3432745|Produto - 0003432745|1162
3439215|Produto - 0003439215|562
3453413|Produto - 0003453413|1106
3462627|Produto - 0003462627|2200
3465228|Produto - 0003465228|1085
3479468|Produto - 0003479468|1664
3497702|Produto - 0003497702|3531
3512413|Produto - 0003512413|1582
3512815|Produto - 0003512815|1582
3515149|Produto - 0003515149|1605
3515359|Produto - 0003515359|1315
3532384|Produto - 0003532384|1162
3540474|Produto - 0003540474|82
3548750|Produto - 0003548750|1333
3560653|Produto - 0003560653|753
3576077|Produto - 0003576077|1664
3600139|Produto - 0003600139|1582
3602651|Produto - 0003602651|1162
3609636|Produto - 0003609636|1106
3628682|Produto - 0003628682|1633
3641613|Produto - 0003641613|2887
3654591|Produto - 0003654591|1182
3662922|Produto - 0003662922|1106
3674533|Produto - 0003674533|1049
3676546|Produto - 0003676546|1582
3702092|Produto - 0003702092|1106
3756669|Produto - 0003756669|1040
3771590|Produto - 0003771590|2078
3785676|Produto - 0003785676|1582
3789350|Produto - 0003789350|1633
