id_subcategoria|ds_subcategoria|id_categoria
1|Sub-categoria - 00001|4
2|Sub-categoria - 00002|4
5|Sub-categoria - 00005|4
9|Sub-categoria - 00009|4
26|Sub-categoria - 00026|4
74|Sub-categoria - 00074|4
82|Sub-categoria - 00082|4
90|Sub-categoria - 00090|4
92|Sub-categoria - 00092|4
95|Sub-categoria - 00095|4
99|Sub-categoria - 00099|4
121|Sub-categoria - 00121|4
122|Sub-categoria - 00122|4
133|Sub-categoria - 00133|4
142|Sub-categoria - 00142|4
145|Sub-categoria - 00145|4
151|Sub-categoria - 00151|4
163|Sub-categoria - 00163|4
185|Sub-categoria - 00185|4
195|Sub-categoria - 00195|4
218|Sub-categoria - 00218|4
221|Sub-categoria - 00221|4
224|Sub-categoria - 00224|4
228|Sub-categoria - 00228|4
232|Sub-categoria - 00232|4
247|Sub-categoria - 00247|4
254|Sub-categoria - 00254|4
255|Sub-categoria - 00255|4
260|Sub-categoria - 00260|4
261|Sub-categoria - 00261|4
265|Sub-categoria - 00265|4
268|Sub-categoria - 00268|4
283|Sub-categoria - 00283|4
285|Sub-categoria - 00285|4
294|Sub-categoria - 00294|4
298|Sub-categoria - 00298|4
299|Sub-categoria - 00299|4
306|Sub-categoria - 00306|4
311|Sub-categoria - 00311|4
317|Sub-categoria - 00317|4
338|Sub-categoria - 00338|4
340|Sub-categoria - 00340|4
360|Sub-categoria - 00360|4
370|Sub-categoria - 00370|4
393|Sub-categoria - 00393|4
396|Sub-categoria - 00396|4
402|Sub-categoria - 00402|4
428|Sub-categoria - 00428|4
430|Sub-categoria - 00430|4
431|Sub-categoria - 00431|4
432|Sub-categoria - 00432|4
435|Sub-categoria - 00435|4
436|Sub-categoria - 00436|4
437|Sub-categoria - 00437|4
438|Sub-categoria - 00438|4
443|Sub-categoria - 00443|4
444|Sub-categoria - 00444|4
445|Sub-categoria - 00445|4
446|Sub-categoria - 00446|4
448|Sub-categoria - 00448|4
449|Sub-categoria - 00449|4
450|Sub-categoria - 00450|4
472|Sub-categoria - 00472|4
473|Sub-categoria - 00473|4
484|Sub-categoria - 00484|4
485|Sub-categoria - 00485|4
509|Sub-categoria - 00509|4
572|Sub-categoria - 00572|4
608|Sub-categoria - 00608|4
628|Sub-categoria - 00628|4
679|Sub-categoria - 00679|4
684|Sub-categoria - 00684|4
692|Sub-categoria - 00692|4
711|Sub-categoria - 00711|4
715|Sub-categoria - 00715|4
722|Sub-categoria - 00722|4
735|Sub-categoria - 00735|4
740|Sub-categoria - 00740|4
751|Sub-categoria - 00751|4
754|Sub-categoria - 00754|4
758|Sub-categoria - 00758|4
762|Sub-categoria - 00762|4
773|Sub-categoria - 00773|4
816|Sub-categoria - 00816|4
847|Sub-categoria - 00847|4
848|Sub-categoria - 00848|4
851|Sub-categoria - 00851|4
857|Sub-categoria - 00857|4
876|Sub-categoria - 00876|4
886|Sub-categoria - 00886|4
897|Sub-categoria - 00897|4
898|Sub-categoria - 00898|4
901|Sub-categoria - 00901|4
902|Sub-categoria - 00902|4
909|Sub-categoria - 00909|4
910|Sub-categoria - 00910|4
911|Sub-categoria - 00911|4
912|Sub-categoria - 00912|4
914|Sub-categoria - 00914|4
939|Sub-categoria - 00939|4
952|Sub-categoria - 00952|4
958|Sub-categoria - 00958|4
960|Sub-categoria - 00960|4
961|Sub-categoria - 00961|4
970|Sub-categoria - 00970|4
972|Sub-categoria - 00972|4
983|Sub-categoria - 00983|4
984|Sub-categoria - 00984|4
989|Sub-categoria - 00989|4
990|Sub-categoria - 00990|4
994|Sub-categoria - 00994|4
995|Sub-categoria - 00995|4
1038|Sub-categoria - 01038|4
1057|Sub-categoria - 01057|4
1097|Sub-categoria - 01097|4
1108|Sub-categoria - 01108|4
1137|Sub-categoria - 01137|4
1144|Sub-categoria - 01144|4
1211|Sub-categoria - 01211|4
1225|Sub-categoria - 01225|4
1227|Sub-categoria - 01227|4
1229|Sub-categoria - 01229|4
1230|Sub-categoria - 01230|4
1234|Sub-categoria - 01234|4
1235|Sub-categoria - 01235|4
1236|Sub-categoria - 01236|4
1240|Sub-categoria - 01240|4
1243|Sub-categoria - 01243|4
1313|Sub-categoria - 01313|4
1314|Sub-categoria - 01314|4
1323|Sub-categoria - 01323|4
1334|Sub-categoria - 01334|4
1336|Sub-categoria - 01336|4
1343|Sub-categoria - 01343|4
1344|Sub-categoria - 01344|4
1350|Sub-categoria - 01350|4
1357|Sub-categoria - 01357|4
1381|Sub-categoria - 01381|4
1386|Sub-categoria - 01386|4
1413|Sub-categoria - 01413|4
1422|Sub-categoria - 01422|4
1428|Sub-categoria - 01428|4
1434|Sub-categoria - 01434|4
1442|Sub-categoria - 01442|4
1466|Sub-categoria - 01466|4
1501|Sub-categoria - 01501|4
1508|Sub-categoria - 01508|4
1526|Sub-categoria - 01526|4
1529|Sub-categoria - 01529|4
1542|Sub-categoria - 01542|4
1549|Sub-categoria - 01549|4
1552|Sub-categoria - 01552|4
1564|Sub-categoria - 01564|4
1569|Sub-categoria - 01569|4
1570|Sub-categoria - 01570|4
1625|Sub-categoria - 01625|4
1627|Sub-categoria - 01627|4
1658|Sub-categoria - 01658|4
1666|Sub-categoria - 01666|4
1669|Sub-categoria - 01669|4
1672|Sub-categoria - 01672|4
1705|Sub-categoria - 01705|4
1726|Sub-categoria - 01726|4
1727|Sub-categoria - 01727|4
1728|Sub-categoria - 01728|4
1736|Sub-categoria - 01736|4
1739|Sub-categoria - 01739|4
1763|Sub-categoria - 01763|4
1768|Sub-categoria - 01768|4
1771|Sub-categoria - 01771|4
1778|Sub-categoria - 01778|4
1802|Sub-categoria - 01802|4
1810|Sub-categoria - 01810|4
1812|Sub-categoria - 01812|4
1864|Sub-categoria - 01864|4
1879|Sub-categoria - 01879|4
1891|Sub-categoria - 01891|4
1898|Sub-categoria - 01898|4
1901|Sub-categoria - 01901|4
1902|Sub-categoria - 01902|4
1903|Sub-categoria - 01903|4
1910|Sub-categoria - 01910|4
1911|Sub-categoria - 01911|4
1916|Sub-categoria - 01916|4
1920|Sub-categoria - 01920|4
1937|Sub-categoria - 01937|4
1962|Sub-categoria - 01962|4
1964|Sub-categoria - 01964|4
1965|Sub-categoria - 01965|4
1969|Sub-categoria - 01969|4
1982|Sub-categoria - 01982|4
1983|Sub-categoria - 01983|4
1986|Sub-categoria - 01986|4
1987|Sub-categoria - 01987|4
1997|Sub-categoria - 01997|4
2001|Sub-categoria - 02001|4
2019|Sub-categoria - 02019|4
2029|Sub-categoria - 02029|4
2041|Sub-categoria - 02041|4
2049|Sub-categoria - 02049|4
2086|Sub-categoria - 02086|4
2106|Sub-categoria - 02106|4
2108|Sub-categoria - 02108|4
2113|Sub-categoria - 02113|4
2115|Sub-categoria - 02115|4
2116|Sub-categoria - 02116|4
2119|Sub-categoria - 02119|4
2123|Sub-categoria - 02123|4
2131|Sub-categoria - 02131|4
2171|Sub-categoria - 02171|4
2177|Sub-categoria - 02177|4
2184|Sub-categoria - 02184|4
2188|Sub-categoria - 02188|4
2190|Sub-categoria - 02190|4
2191|Sub-categoria - 02191|4
2247|Sub-categoria - 02247|4
2250|Sub-categoria - 02250|4
2252|Sub-categoria - 02252|4
2274|Sub-categoria - 02274|4
2280|Sub-categoria - 02280|4
2281|Sub-categoria - 02281|4
2286|Sub-categoria - 02286|4
2290|Sub-categoria - 02290|4
2296|Sub-categoria - 02296|4
2302|Sub-categoria - 02302|4
2310|Sub-categoria - 02310|4
2365|Sub-categoria - 02365|4
2369|Sub-categoria - 02369|4
2370|Sub-categoria - 02370|4
2397|Sub-categoria - 02397|4
2413|Sub-categoria - 02413|4
2430|Sub-categoria - 02430|4
2437|Sub-categoria - 02437|4
2446|Sub-categoria - 02446|4
2462|Sub-categoria - 02462|4
2464|Sub-categoria - 02464|4
2473|Sub-categoria - 02473|4
2477|Sub-categoria - 02477|4
2483|Sub-categoria - 02483|4
2512|Sub-categoria - 02512|4
2521|Sub-categoria - 02521|4
2530|Sub-categoria - 02530|4
2647|Sub-categoria - 02647|4
2657|Sub-categoria - 02657|4
2729|Sub-categoria - 02729|4
2749|Sub-categoria - 02749|4
2762|Sub-categoria - 02762|4
2771|Sub-categoria - 02771|4
2801|Sub-categoria - 02801|4
2805|Sub-categoria - 02805|4
2818|Sub-categoria - 02818|4
2836|Sub-categoria - 02836|4
2841|Sub-categoria - 02841|4
2854|Sub-categoria - 02854|4
2866|Sub-categoria - 02866|4
2911|Sub-categoria - 02911|4
2926|Sub-categoria - 02926|4
2953|Sub-categoria - 02953|4
2957|Sub-categoria - 02957|4
2959|Sub-categoria - 02959|4
2970|Sub-categoria - 02970|4
2974|Sub-categoria - 02974|4
2977|Sub-categoria - 02977|4
2980|Sub-categoria - 02980|4
3046|Sub-categoria - 03046|4
3047|Sub-categoria - 03047|4
3049|Sub-categoria - 03049|4
3051|Sub-categoria - 03051|4
3097|Sub-categoria - 03097|4
3099|Sub-categoria - 03099|4
3102|Sub-categoria - 03102|4
3112|Sub-categoria - 03112|4
3152|Sub-categoria - 03152|4
3159|Sub-categoria - 03159|4
3172|Sub-categoria - 03172|4
3191|Sub-categoria - 03191|4
3206|Sub-categoria - 03206|4
3215|Sub-categoria - 03215|4
3245|Sub-categoria - 03245|4
3253|Sub-categoria - 03253|4
3254|Sub-categoria - 03254|4
3268|Sub-categoria - 03268|4
3269|Sub-categoria - 03269|4
3372|Sub-categoria - 03372|4
3378|Sub-categoria - 03378|4
3382|Sub-categoria - 03382|4
3385|Sub-categoria - 03385|4
3394|Sub-categoria - 03394|4
3408|Sub-categoria - 03408|4
3488|Sub-categoria - 03488|4
3507|Sub-categoria - 03507|4
3509|Sub-categoria - 03509|4
3565|Sub-categoria - 03565|4
3597|Sub-categoria - 03597|4
3601|Sub-categoria - 03601|4
3602|Sub-categoria - 03602|4
24|Sub-categoria - 00024|5
27|Sub-categoria - 00027|5
43|Sub-categoria - 00043|5
49|Sub-categoria - 00049|5
59|Sub-categoria - 00059|5
162|Sub-categoria - 00162|5
181|Sub-categoria - 00181|5
186|Sub-categoria - 00186|5
191|Sub-categoria - 00191|5
192|Sub-categoria - 00192|5
245|Sub-categoria - 00245|5
251|Sub-categoria - 00251|5
252|Sub-categoria - 00252|5
278|Sub-categoria - 00278|5
405|Sub-categoria - 00405|5
415|Sub-categoria - 00415|5
474|Sub-categoria - 00474|5
481|Sub-categoria - 00481|5
529|Sub-categoria - 00529|5
530|Sub-categoria - 00530|5
535|Sub-categoria - 00535|5
541|Sub-categoria - 00541|5
546|Sub-categoria - 00546|5
548|Sub-categoria - 00548|5
549|Sub-categoria - 00549|5
563|Sub-categoria - 00563|5
564|Sub-categoria - 00564|5
614|Sub-categoria - 00614|5
615|Sub-categoria - 00615|5
616|Sub-categoria - 00616|5
617|Sub-categoria - 00617|5
618|Sub-categoria - 00618|5
620|Sub-categoria - 00620|5
623|Sub-categoria - 00623|5
624|Sub-categoria - 00624|5
626|Sub-categoria - 00626|5
627|Sub-categoria - 00627|5
632|Sub-categoria - 00632|5
634|Sub-categoria - 00634|5
635|Sub-categoria - 00635|5
636|Sub-categoria - 00636|5
638|Sub-categoria - 00638|5
644|Sub-categoria - 00644|5
750|Sub-categoria - 00750|5
757|Sub-categoria - 00757|5
818|Sub-categoria - 00818|5
922|Sub-categoria - 00922|5
928|Sub-categoria - 00928|5
955|Sub-categoria - 00955|5
979|Sub-categoria - 00979|5
1163|Sub-categoria - 01163|5
1192|Sub-categoria - 01192|5
1437|Sub-categoria - 01437|5
1555|Sub-categoria - 01555|5
1561|Sub-categoria - 01561|5
1761|Sub-categoria - 01761|5
1766|Sub-categoria - 01766|5
2022|Sub-categoria - 02022|5
2875|Sub-categoria - 02875|5
2929|Sub-categoria - 02929|5
2983|Sub-categoria - 02983|5
2985|Sub-categoria - 02985|5
3113|Sub-categoria - 03113|5
3148|Sub-categoria - 03148|5
3371|Sub-categoria - 03371|5
3386|Sub-categoria - 03386|5
3560|Sub-categoria - 03560|5
16|Sub-categoria - 00016|6
40|Sub-categoria - 00040|6
86|Sub-categoria - 00086|6
112|Sub-categoria - 00112|6
144|Sub-categoria - 00144|6
161|Sub-categoria - 00161|6
301|Sub-categoria - 00301|6
355|Sub-categoria - 00355|6
359|Sub-categoria - 00359|6
382|Sub-categoria - 00382|6
442|Sub-categoria - 00442|6
454|Sub-categoria - 00454|6
457|Sub-categoria - 00457|6
465|Sub-categoria - 00465|6
466|Sub-categoria - 00466|6
467|Sub-categoria - 00467|6
468|Sub-categoria - 00468|6
469|Sub-categoria - 00469|6
470|Sub-categoria - 00470|6
471|Sub-categoria - 00471|6
475|Sub-categoria - 00475|6
478|Sub-categoria - 00478|6
480|Sub-categoria - 00480|6
482|Sub-categoria - 00482|6
492|Sub-categoria - 00492|6
496|Sub-categoria - 00496|6
526|Sub-categoria - 00526|6
533|Sub-categoria - 00533|6
545|Sub-categoria - 00545|6
547|Sub-categoria - 00547|6
551|Sub-categoria - 00551|6
553|Sub-categoria - 00553|6
558|Sub-categoria - 00558|6
569|Sub-categoria - 00569|6
573|Sub-categoria - 00573|6
575|Sub-categoria - 00575|6
579|Sub-categoria - 00579|6
585|Sub-categoria - 00585|6
591|Sub-categoria - 00591|6
622|Sub-categoria - 00622|6
643|Sub-categoria - 00643|6
663|Sub-categoria - 00663|6
665|Sub-categoria - 00665|6
676|Sub-categoria - 00676|6
680|Sub-categoria - 00680|6
685|Sub-categoria - 00685|6
686|Sub-categoria - 00686|6
702|Sub-categoria - 00702|6
705|Sub-categoria - 00705|6
716|Sub-categoria - 00716|6
718|Sub-categoria - 00718|6
719|Sub-categoria - 00719|6
721|Sub-categoria - 00721|6
723|Sub-categoria - 00723|6
730|Sub-categoria - 00730|6
731|Sub-categoria - 00731|6
732|Sub-categoria - 00732|6
733|Sub-categoria - 00733|6
734|Sub-categoria - 00734|6
741|Sub-categoria - 00741|6
744|Sub-categoria - 00744|6
746|Sub-categoria - 00746|6
749|Sub-categoria - 00749|6
776|Sub-categoria - 00776|6
777|Sub-categoria - 00777|6
784|Sub-categoria - 00784|6
789|Sub-categoria - 00789|6
790|Sub-categoria - 00790|6
794|Sub-categoria - 00794|6
795|Sub-categoria - 00795|6
796|Sub-categoria - 00796|6
800|Sub-categoria - 00800|6
803|Sub-categoria - 00803|6
804|Sub-categoria - 00804|6
805|Sub-categoria - 00805|6
806|Sub-categoria - 00806|6
809|Sub-categoria - 00809|6
811|Sub-categoria - 00811|6
813|Sub-categoria - 00813|6
814|Sub-categoria - 00814|6
815|Sub-categoria - 00815|6
817|Sub-categoria - 00817|6
819|Sub-categoria - 00819|6
820|Sub-categoria - 00820|6
821|Sub-categoria - 00821|6
822|Sub-categoria - 00822|6
827|Sub-categoria - 00827|6
828|Sub-categoria - 00828|6
830|Sub-categoria - 00830|6
831|Sub-categoria - 00831|6
832|Sub-categoria - 00832|6
833|Sub-categoria - 00833|6
835|Sub-categoria - 00835|6
836|Sub-categoria - 00836|6
837|Sub-categoria - 00837|6
838|Sub-categoria - 00838|6
840|Sub-categoria - 00840|6
842|Sub-categoria - 00842|6
843|Sub-categoria - 00843|6
844|Sub-categoria - 00844|6
845|Sub-categoria - 00845|6
850|Sub-categoria - 00850|6
852|Sub-categoria - 00852|6
854|Sub-categoria - 00854|6
855|Sub-categoria - 00855|6
856|Sub-categoria - 00856|6
860|Sub-categoria - 00860|6
866|Sub-categoria - 00866|6
875|Sub-categoria - 00875|6
877|Sub-categoria - 00877|6
887|Sub-categoria - 00887|6
889|Sub-categoria - 00889|6
890|Sub-categoria - 00890|6
891|Sub-categoria - 00891|6
916|Sub-categoria - 00916|6
927|Sub-categoria - 00927|6
930|Sub-categoria - 00930|6
969|Sub-categoria - 00969|6
980|Sub-categoria - 00980|6
1141|Sub-categoria - 01141|6
1372|Sub-categoria - 01372|6
1459|Sub-categoria - 01459|6
1468|Sub-categoria - 01468|6
1505|Sub-categoria - 01505|6
1535|Sub-categoria - 01535|6
1654|Sub-categoria - 01654|6
1700|Sub-categoria - 01700|6
1703|Sub-categoria - 01703|6
1811|Sub-categoria - 01811|6
1834|Sub-categoria - 01834|6
2032|Sub-categoria - 02032|6
2039|Sub-categoria - 02039|6
2090|Sub-categoria - 02090|6
2103|Sub-categoria - 02103|6
2124|Sub-categoria - 02124|6
2141|Sub-categoria - 02141|6
2207|Sub-categoria - 02207|6
2226|Sub-categoria - 02226|6
2388|Sub-categoria - 02388|6
2401|Sub-categoria - 02401|6
2421|Sub-categoria - 02421|6
2429|Sub-categoria - 02429|6
2435|Sub-categoria - 02435|6
2439|Sub-categoria - 02439|6
2440|Sub-categoria - 02440|6
2441|Sub-categoria - 02441|6
2443|Sub-categoria - 02443|6
2445|Sub-categoria - 02445|6
2523|Sub-categoria - 02523|6
2864|Sub-categoria - 02864|6
2865|Sub-categoria - 02865|6
2882|Sub-categoria - 02882|6
2937|Sub-categoria - 02937|6
2952|Sub-categoria - 02952|6
3076|Sub-categoria - 03076|6
3091|Sub-categoria - 03091|6
3106|Sub-categoria - 03106|6
3143|Sub-categoria - 03143|6
3145|Sub-categoria - 03145|6
3241|Sub-categoria - 03241|6
3242|Sub-categoria - 03242|6
3255|Sub-categoria - 03255|6
3264|Sub-categoria - 03264|6
3295|Sub-categoria - 03295|6
3314|Sub-categoria - 03314|6
3315|Sub-categoria - 03315|6
3357|Sub-categoria - 03357|6
3358|Sub-categoria - 03358|6
3359|Sub-categoria - 03359|6
3363|Sub-categoria - 03363|6
3368|Sub-categoria - 03368|6
3387|Sub-categoria - 03387|6
3477|Sub-categoria - 03477|6
3494|Sub-categoria - 03494|6
3518|Sub-categoria - 03518|6
3550|Sub-categoria - 03550|6
3559|Sub-categoria - 03559|6
3605|Sub-categoria - 03605|6
52|Sub-categoria - 00052|7
171|Sub-categoria - 00171|7
193|Sub-categoria - 00193|7
337|Sub-categoria - 00337|7
414|Sub-categoria - 00414|7
779|Sub-categoria - 00779|7
786|Sub-categoria - 00786|7
935|Sub-categoria - 00935|7
982|Sub-categoria - 00982|7
1173|Sub-categoria - 01173|7
1174|Sub-categoria - 01174|7
1176|Sub-categoria - 01176|7
1178|Sub-categoria - 01178|7
1181|Sub-categoria - 01181|7
1249|Sub-categoria - 01249|7
1358|Sub-categoria - 01358|7
1360|Sub-categoria - 01360|7
1730|Sub-categoria - 01730|7
1762|Sub-categoria - 01762|7
1973|Sub-categoria - 01973|7
2641|Sub-categoria - 02641|7
3114|Sub-categoria - 03114|7
3292|Sub-categoria - 03292|7
3463|Sub-categoria - 03463|8
20|Sub-categoria - 00020|9
25|Sub-categoria - 00025|9
46|Sub-categoria - 00046|9
54|Sub-categoria - 00054|9
73|Sub-categoria - 00073|9
81|Sub-categoria - 00081|9
93|Sub-categoria - 00093|9
94|Sub-categoria - 00094|9
98|Sub-categoria - 00098|9
104|Sub-categoria - 00104|9
105|Sub-categoria - 00105|9
106|Sub-categoria - 00106|9
109|Sub-categoria - 00109|9
111|Sub-categoria - 00111|9
154|Sub-categoria - 00154|9
170|Sub-categoria - 00170|9
182|Sub-categoria - 00182|9
239|Sub-categoria - 00239|9
243|Sub-categoria - 00243|9
269|Sub-categoria - 00269|9
277|Sub-categoria - 00277|9
300|Sub-categoria - 00300|9
330|Sub-categoria - 00330|9
349|Sub-categoria - 00349|9
350|Sub-categoria - 00350|9
353|Sub-categoria - 00353|9
367|Sub-categoria - 00367|9
371|Sub-categoria - 00371|9
384|Sub-categoria - 00384|9
386|Sub-categoria - 00386|9
403|Sub-categoria - 00403|9
404|Sub-categoria - 00404|9
406|Sub-categoria - 00406|9
409|Sub-categoria - 00409|9
418|Sub-categoria - 00418|9
421|Sub-categoria - 00421|9
422|Sub-categoria - 00422|9
447|Sub-categoria - 00447|9
453|Sub-categoria - 00453|9
459|Sub-categoria - 00459|9
490|Sub-categoria - 00490|9
497|Sub-categoria - 00497|9
508|Sub-categoria - 00508|9
518|Sub-categoria - 00518|9
523|Sub-categoria - 00523|9
550|Sub-categoria - 00550|9
566|Sub-categoria - 00566|9
574|Sub-categoria - 00574|9
640|Sub-categoria - 00640|9
682|Sub-categoria - 00682|9
707|Sub-categoria - 00707|9
736|Sub-categoria - 00736|9
738|Sub-categoria - 00738|9
765|Sub-categoria - 00765|9
825|Sub-categoria - 00825|9
826|Sub-categoria - 00826|9
849|Sub-categoria - 00849|9
913|Sub-categoria - 00913|9
918|Sub-categoria - 00918|9
929|Sub-categoria - 00929|9
932|Sub-categoria - 00932|9
936|Sub-categoria - 00936|9
938|Sub-categoria - 00938|9
944|Sub-categoria - 00944|9
986|Sub-categoria - 00986|9
1017|Sub-categoria - 01017|9
1074|Sub-categoria - 01074|9
1078|Sub-categoria - 01078|9
1080|Sub-categoria - 01080|9
1102|Sub-categoria - 01102|9
1143|Sub-categoria - 01143|9
1149|Sub-categoria - 01149|9
1166|Sub-categoria - 01166|9
1177|Sub-categoria - 01177|9
1184|Sub-categoria - 01184|9
1202|Sub-categoria - 01202|9
1208|Sub-categoria - 01208|9
1223|Sub-categoria - 01223|9
1226|Sub-categoria - 01226|9
1245|Sub-categoria - 01245|9
1259|Sub-categoria - 01259|9
1260|Sub-categoria - 01260|9
1261|Sub-categoria - 01261|9
1262|Sub-categoria - 01262|9
1263|Sub-categoria - 01263|9
1264|Sub-categoria - 01264|9
1265|Sub-categoria - 01265|9
1267|Sub-categoria - 01267|9
1268|Sub-categoria - 01268|9
1272|Sub-categoria - 01272|9
1273|Sub-categoria - 01273|9
1275|Sub-categoria - 01275|9
1277|Sub-categoria - 01277|9
1278|Sub-categoria - 01278|9
1282|Sub-categoria - 01282|9
1285|Sub-categoria - 01285|9
1290|Sub-categoria - 01290|9
1291|Sub-categoria - 01291|9
1295|Sub-categoria - 01295|9
1296|Sub-categoria - 01296|9
1298|Sub-categoria - 01298|9
1302|Sub-categoria - 01302|9
1317|Sub-categoria - 01317|9
1320|Sub-categoria - 01320|9
1321|Sub-categoria - 01321|9
1373|Sub-categoria - 01373|9
1387|Sub-categoria - 01387|9
1391|Sub-categoria - 01391|9
1396|Sub-categoria - 01396|9
1410|Sub-categoria - 01410|9
1424|Sub-categoria - 01424|9
1425|Sub-categoria - 01425|9
1439|Sub-categoria - 01439|9
1480|Sub-categoria - 01480|9
1498|Sub-categoria - 01498|9
1527|Sub-categoria - 01527|9
1546|Sub-categoria - 01546|9
1554|Sub-categoria - 01554|9
1565|Sub-categoria - 01565|9
1566|Sub-categoria - 01566|9
1572|Sub-categoria - 01572|9
1575|Sub-categoria - 01575|9
1577|Sub-categoria - 01577|9
1578|Sub-categoria - 01578|9
1579|Sub-categoria - 01579|9
1581|Sub-categoria - 01581|9
1585|Sub-categoria - 01585|9
1587|Sub-categoria - 01587|9
1589|Sub-categoria - 01589|9
1594|Sub-categoria - 01594|9
1597|Sub-categoria - 01597|9
1598|Sub-categoria - 01598|9
1599|Sub-categoria - 01599|9
1600|Sub-categoria - 01600|9
1619|Sub-categoria - 01619|9
1645|Sub-categoria - 01645|9
1647|Sub-categoria - 01647|9
1648|Sub-categoria - 01648|9
1649|Sub-categoria - 01649|9
1673|Sub-categoria - 01673|9
1677|Sub-categoria - 01677|9
1704|Sub-categoria - 01704|9
1709|Sub-categoria - 01709|9
1711|Sub-categoria - 01711|9
1712|Sub-categoria - 01712|9
1722|Sub-categoria - 01722|9
1732|Sub-categoria - 01732|9
1735|Sub-categoria - 01735|9
1738|Sub-categoria - 01738|9
1741|Sub-categoria - 01741|9
1777|Sub-categoria - 01777|9
1779|Sub-categoria - 01779|9
1808|Sub-categoria - 01808|9
1895|Sub-categoria - 01895|9
1917|Sub-categoria - 01917|9
1918|Sub-categoria - 01918|9
1922|Sub-categoria - 01922|9
1943|Sub-categoria - 01943|9
1953|Sub-categoria - 01953|9
1960|Sub-categoria - 01960|9
1976|Sub-categoria - 01976|9
1978|Sub-categoria - 01978|9
2010|Sub-categoria - 02010|9
2026|Sub-categoria - 02026|9
2030|Sub-categoria - 02030|9
2038|Sub-categoria - 02038|9
2080|Sub-categoria - 02080|9
2107|Sub-categoria - 02107|9
2132|Sub-categoria - 02132|9
2135|Sub-categoria - 02135|9
2149|Sub-categoria - 02149|9
2150|Sub-categoria - 02150|9
2151|Sub-categoria - 02151|9
2157|Sub-categoria - 02157|9
2185|Sub-categoria - 02185|9
2192|Sub-categoria - 02192|9
2201|Sub-categoria - 02201|9
2253|Sub-categoria - 02253|9
2255|Sub-categoria - 02255|9
2285|Sub-categoria - 02285|9
2289|Sub-categoria - 02289|9
2315|Sub-categoria - 02315|9
2319|Sub-categoria - 02319|9
2327|Sub-categoria - 02327|9
2371|Sub-categoria - 02371|9
2372|Sub-categoria - 02372|9
2373|Sub-categoria - 02373|9
2380|Sub-categoria - 02380|9
2393|Sub-categoria - 02393|9
2398|Sub-categoria - 02398|9
2402|Sub-categoria - 02402|9
2409|Sub-categoria - 02409|9
2412|Sub-categoria - 02412|9
2436|Sub-categoria - 02436|9
2474|Sub-categoria - 02474|9
2494|Sub-categoria - 02494|9
2496|Sub-categoria - 02496|9
2508|Sub-categoria - 02508|9
2525|Sub-categoria - 02525|9
2740|Sub-categoria - 02740|9
2759|Sub-categoria - 02759|9
2764|Sub-categoria - 02764|9
2767|Sub-categoria - 02767|9
2795|Sub-categoria - 02795|9
2796|Sub-categoria - 02796|9
